Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA,,
Papa Nacional *,1 Kilogramos,1.2,1.54,1.54,1.54,1.54,1.29,1.54,1.46,1.29,1.29,1.54,1.54,1.54,1.27,1.27,1.54,1.29,1.29,1.54,1.29,1.25,1.54,1.29,1.29,1.21,1.29,1.54,1.54,1.54,1.29,1.54,,1.27,1.19,1.29,1.29,1.54,1.54,1.07,1.29,1.54,1.29,1.29,1.46,1.27,1.43,1.54,1.29,1.32,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.32,1.54,,1.32,1.54,1.54,1.54,1.1,1.54,1.4,1.54,1.54,1.54,0.86,0.99,0.88,1.54,1.32,1.1,,,1.32,1.54,1.32,1.54,,
Plátano Verde *,1 Unidades,,,0.3,,,,,,0.22,,0.27,0.27,0.27,0.22,0.22,,0.27,0.27,,,0.31,,0.27,,0.26,0.22,,0.25,0.25,0.27,0.27,0.25,,,,,,,0.27,0.22,,0.23,0.23,,0.22,,0.25,,0.5,0.5,0.35,0.45,0.4,0.35,0.5,0.5,0.35,0.4,0.45,0.35,0.4,0.5,0.35,0.35,0.4,,0.35,0.35,0.4,0.5,0.3,0.4,0.4,0.35,0.35,0.25,,,0.3,0.35,0.4,0.4,,,0.4,0.45,0.35,0.45,,
Repollo Verde *,1 Kilogramos,1.61,1.77,3.08,3.08,1.49,1.98,1.49,1.96,1.6,1.95,1.49,1.49,1.49,1.47,1.47,1.77,1.49,1.49,1.77,1.49,1.6,1.99,1.49,1.49,1.49,1.95,1.69,1.77,1.49,1.49,,,1.23,1.47,1.6,1.95,1.77,1.49,1.95,1.95,1.77,1.49,1.49,1.27,1.27,1.3,1.77,1.49,2.76,2.2,1.76,2.76,1.76,2.2,,2.76,2.2,2.2,2.2,2.2,,2.09,1.76,2.2,2.2,,1.76,1.32,2.76,2.65,1.65,2.76,2.76,1.65,2.76,,1.65,1.21,1.65,,1.76,,,,2.2,2.2,1.32,2.76,,
Tomate Nacional (Perita ó 3 x 3) *,1 Kilogramos,2.71,2.71,2.71,2.71,2.55,2.69,2.71,2.67,2.55,2.4,2.69,,2.59,2.38,2.38,2.71,2.69,2.69,2.71,2.71,2.25,3.22,2.71,2.71,2.39,2.4,2.71,2.71,2.55,2.99,2.69,2.08,2.38,2.37,2.4,2.4,2.71,2.69,1.87,2.4,2.71,,,,2.37,2.64,2.74,2.69,2.71,2.71,,2.71,2.2,2.71,,2.71,,2.2,2.71,2.71,,2.71,2.49,2.2,2.71,,2.2,2.2,2.76,3.31,2.2,2.71,2.71,2.55,2.71,2.76,2.55,2.4,2.2,2.71,2.2,,,,2.71,2.71,,2.65,,
Yuca *,1 Kilogramos,,,,,,,,0.77,,,,,,,0.6,0.83,,,0.83,,0.84,0.83,,,,,0.83,0.83,,,,0.6,,,,,0.62,,,,0.83,,,,0.73,0.72,,,,,,,,,,,0.84,0.77,,,,,,,,,0.62,,,,,,0.84,,,,0.84,0.77,,,,,,,,,,,,
Zanahoria *,1 Kilogramos,,1.75,2.35,,1.64,0.99,0.99,0.97,1.45,1.09,1.64,,1.64,1.6,1.6,1.83,0.99,0.99,1.83,1.64,1.4,1.75,1.64,1.64,,0.99,1.77,1.86,1.64,0.99,1.64,1.62,0.97,0.93,1.45,0.98,1.83,1.64,0.99,0.99,1.77,0.99,0.99,0.78,0.78,0.99,1.83,0.99,2.76,2.2,2.2,2.2,1.76,2.2,,2.2,2.2,2.2,1.65,1.65,1.76,2.09,1.76,2.2,2.2,,1.76,1.65,2.2,2.65,1.65,2.76,2.2,1.65,2.2,2.2,0.99,1.08,1.5,2.2,1.76,1.76,,,2.2,2.2,1.65,2.2,,
Frijoles Chiricanos *,1 Kilogramos,2.93,,,,2.43,2.09,2.09,1.98,2.84,2.84,2.62,2.62,,,2.51,,2.54,2.43,2.84,2.09,2.82,3.06,2.43,2.54,2.18,2.84,2.84,2.84,,2.84,,2.47,2.03,2.14,2.4,2.36,2.98,2.84,2.36,2.84,2.84,2.09,2.43,1.92,2.09,2.18,2.84,2.84,,,,,,2.98,,3.2,,,,,,3.31,3.31,3.2,,2.98,,,3.31,3.31,3.31,3.2,,3.2,,,2.84,2.84,3.2,,,,2.2,,2.76,2.98,,2.98,,
Lentejas *,1 Kilogramos,1.61,1.65,1.61,1.61,1.52,1.61,1.52,1.48,1.34,1.34,1.52,1.52,1.52,1.3,1.3,1.52,1.52,1.52,1.52,1.52,1.61,1.65,1.43,1.43,1.43,1.34,1.52,,1.52,1.52,1.61,1.17,1.39,1.3,1.34,1.34,1.52,1.52,1.34,1.34,1.52,1.61,1.19,1.3,1.52,1.52,1.52,1.52,2.76,1.87,1.61,2.2,1.72,1.61,2.2,1.87,1.87,1.87,1.65,1.87,1.61,1.87,,1.65,1.65,1.87,1.65,1.87,2.2,1.83,1.61,1.65,1.61,1.61,1.87,1.46,1.57,1.21,1.61,1.87,1.61,1.61,1.54,1.85,1.65,2.43,1.61,1.61,,
Porotos Rojos *,1 Kilogramos,2.12,2.16,2.12,2.12,1.92,1.92,2.12,1.87,2.12,1.87,1.92,1.92,1.92,1.87,1.87,2.16,1.92,1.92,2.16,1.97,2.12,2.14,1.92,1.96,2.12,1.87,2.16,2.16,1.92,1.92,1.92,1.87,1.87,1.83,2.12,1.87,1.96,1.92,1.87,1.87,2.05,2.09,1.92,1.87,1.87,2.09,2.16,1.92,3.31,2.43,,2.76,2.09,2.12,2.76,2.76,2.12,2.2,2.2,2.2,2.12,2.2,2.76,2.12,2.12,2.12,2.2,2.12,1.65,2.12,2.12,2.43,2.12,2.12,2.2,2.2,2.12,2.09,2.12,2.43,2.12,2.12,1.98,2.43,2.2,2.98,2.12,2.12,,
Guineos *,1 Kilogramos,1.01,1.05,1.1,1.1,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.97,0.97,1.05,0.99,0.99,1.04,0.99,1.01,0.93,,0.99,,0.95,1.05,0.95,,0.99,0.99,0.87,0.97,0.92,0.98,0.89,,,0.96,0.96,1.05,,0.99,,0.94,0.99,1.05,0.99,1.32,,,1.21,1.1,1.1,1.43,1.1,1.1,,1.1,1.1,,1.1,1.1,1.1,1.1,,,,1.1,1.1,,1.1,1.1,1.1,1.1,,0.77,,0.99,0.88,1.1,1.1,,1.1,1.1,1.1,1.1,1.32,,
